sep=,,,,,,
time (source1),data.0,data.1,data.2,data.3,data.4,
31.83,479.61,-291.114,-15.208,21.514,292.303,
31.942,479.72,-271.014,54.692,31.264,278.239,
32.048,479.83,-240.864,114.092,40.414,269.565,
32.164,479.94,-181.014,193.292,53.164,270.1,
32.276,480.05,-116.214,225.842,50.314,258.924,
32.395,480.16,-84.714,220.892,46.114,241.031,
32.547,480.33,-64.914,222.092,35.764,234.131,
32.665,480.44,-49.464,221.792,30.364,229.26,
32.78,480.56,-16.164,227.042,30.064,229.593,
32.897,480.67,24.036,211.142,29.464,214.538,
33.017,480.79,55.836,166.292,30.664,178.075,
33.13,480.9,60.936,123.092,32.614,141.168,
33.242,481.01,64.236,103.742,32.614,126.302,
33.408,481.18,66.486,96.392,32.164,121.434,
33.515,481.29,67.686,93.692,31.714,119.855,
33.63,481.4,61.086,86.792,32.014,110.856,
33.732,481.51,52.236,77.942,31.864,99.09,
33.85,481.62,42.786,69.842,30.514,87.405,
33.964,481.74,32.136,62.492,30.364,76.55,
34.074,481.85,21.486,49.142,31.114,62.005,
34.23,482,7.836,36.542,32.164,49.307,
34.341,482.11,3.036,34.292,31.414,46.604,
34.444,482.21,-0.414,36.092,32.164,48.345,
34.552,482.32,-3.114,38.342,31.864,49.951,
34.669,482.43,-4.614,38.642,32.614,50.775,
34.782,482.55,-3.564,36.692,33.064,49.52,
34.896,482.66,-3.114,36.842,32.464,49.203,
35.043,482.81,-3.864,37.742,32.614,50.03,
35.161,482.92,-1.314,41.492,32.164,52.515,
35.264,483.03,-0.264,42.392,31.414,52.763,
35.373,483.14,-1.464,41.342,30.814,51.583,
35.502,483.25,-5.964,42.242,32.764,53.79,
35.595,483.35,-9.114,42.992,33.364,55.177,
35.698,483.46,-13.464,43.142,33.664,56.354,
35.812,483.57,-19.764,42.242,34.564,58.048,
35.976,483.74,-28.614,41.042,34.864,60.981,
36.084,483.85,-37.914,39.092,33.964,64.181,
36.206,483.95,-47.364,34.442,34.714,68.078,
36.3,484.06,-52.764,26.192,33.664,67.847,
36.413,484.17,-55.614,20.042,34.264,68.327,
36.528,484.28,-61.014,11.042,33.514,70.482,
36.629,484.39,-66.414,-1.858,32.314,73.881,
36.794,484.55,-73.014,-17.908,30.664,81.191,
36.895,484.65,-76.614,-28.558,30.814,87.377,
37.006,484.76,-74.214,-37.858,29.764,88.469,
37.115,484.87,-75.564,-47.908,29.614,94.244,
37.225,484.98,-70.314,-63.508,27.664,98.704,
37.335,485.09,-64.164,-71.158,26.464,99.402,
37.441,485.2,-55.164,-78.658,26.164,99.572,
37.592,485.34,-45.114,-87.058,26.164,101.483,
37.705,485.46,-31.764,-91.858,24.964,100.349,
37.816,485.57,-21.714,-93.808,24.364,99.322,
37.928,485.68,-13.464,-95.758,25.864,100.099,
38.036,485.79,-9.564,-97.558,26.764,101.613,
38.147,485.89,-4.614,-99.808,27.514,103.633,
38.259,486.01,-2.214,-97.708,29.464,102.077,
38.404,486.15,-8.514,-94.708,25.564,98.466,
38.514,486.26,-23.214,-92.308,24.364,98.251,
38.627,486.37,-35.064,-89.008,21.214,97.989,
38.731,486.48,-44.364,-74.758,19.114,89.007,
38.842,486.59,-49.314,-68.308,18.964,86.356,
38.956,486.7,-60.264,-57.058,22.564,86.002,
39.071,486.81,-67.914,-31.558,27.064,79.628,
39.246,486.99,-53.364,13.142,31.714,63.452,
39.355,487.1,-36.564,40.142,36.664,65.517,
39.462,487.21,-33.864,68.492,40.864,86.647,
39.572,487.32,-21.714,140.042,48.814,149.886,
39.689,487.43,93.636,353.342,45.064,368.305,
39.815,487.55,492.636,702.392,10.264,857.991,
39.963,487.71,1741.986,675.542,-140.186,1873.639,
40.079,487.82,1729.386,-522.808,-272.336,1827.093,
40.198,487.94,688.986,-785.908,-155.786,1056.703,
40.311,488.05,189.786,-631.258,-56.636,661.598,
40.427,488.17,127.536,-553.108,-25.736,568.204,
40.544,488.29,145.386,-504.358,-35.786,526.112,
40.66,488.4,187.536,-460.558,-42.836,499.117,
40.812,488.55,-33.264,-781.258,-89.336,787.052,
40.92,488.66,-254.214,-729.058,-51.086,773.795,
41.04,488.77,-746.664,-210.508,65.614,778.54,
41.144,488.88,-806.364,82.142,122.764,819.781,
41.253,488.99,-754.764,434.042,198.364,892.977,
41.371,489.1,-437.214,603.842,222.064,777.877,
41.517,489.25,186.186,649.142,212.314,707.903,
41.622,489.36,324.336,464.642,174.364,592.864,
41.742,489.47,289.836,415.292,154.564,529.492,
41.843,489.58,241.686,348.842,145.414,448.606,
41.954,489.69,159.936,356.192,127.414,408.869,
42.063,489.8,157.536,355.592,129.664,409.97,
42.184,489.91,157.236,355.442,130.264,409.915,
42.363,490.09,157.236,354.992,131.464,409.908,
42.474,490.2,157.386,353.792,131.164,408.831,
42.58,490.31,156.786,355.442,131.764,410.222,
42.692,490.42,157.386,355.292,131.014,410.082,
42.807,490.53,157.986,353.942,131.014,409.144,
42.909,490.64,156.936,354.542,131.914,409.548,
43.051,490.78,157.986,354.092,132.214,409.659,
43.159,490.89,156.336,354.842,131.314,409.386,
43.273,490.99,157.536,353.942,131.614,409.163,
43.375,491.1,157.536,355.142,132.814,410.588,
43.482,491.21,158.136,354.392,132.064,409.928,
43.605,491.33,157.536,355.292,132.064,410.476,
43.714,491.44,157.386,353.642,131.614,408.846,
43.882,491.6,158.136,354.092,131.764,409.572,
43.991,491.71,157.686,354.092,131.764,409.399,
44.107,491.82,156.336,354.242,131.764,409.011,
44.207,491.93,157.086,353.792,132.514,409.151,
44.318,492.04,149.886,354.992,136.114,408.671,
44.475,492.15,149.586,340.592,139.864,397.417,
44.58,492.3,151.836,335.342,132.364,391.188,
44.689,492.41,152.136,335.042,132.964,391.251,
