sep=	
time (source1)	data.0	data.1	data.2	data.3	data.4	data.5	data.6	
75.565	79.57	-303.414	0.392	33.964	305.309	5	2	
75.673	79.69	-302.814	-0.358	33.964	304.712	5	2	
75.791	79.8	-303.264	-0.058	34.264	305.193	5	2	
75.905	79.91	-302.514	0.392	34.714	304.499	5	2	
76.012	80.02	-303.564	-0.208	34.264	305.491	5	2	
76.158	80.17	-303.564	0.392	34.114	305.475	5	2	
76.281	80.29	-303.264	-0.058	33.514	305.11	5	2	
76.39	80.4	-304.014	-0.058	34.264	305.938	5	2	
76.502	80.51	-302.964	0.392	33.964	304.862	5	2	
76.607	80.62	-303.714	0.092	34.864	305.708	5	2	
76.725	80.73	-303.564	0.242	35.014	305.576	5	2	
76.882	80.89	-303.864	-0.358	34.864	305.857	5	2	
76.999	81	-304.014	0.392	34.114	305.922	5	2	
77.11	81.11	-302.514	0.242	33.664	304.381	5	2	
77.221	81.23	-303.414	-0.208	33.214	305.226	5	2	
77.33	81.34	-303.414	0.392	34.714	305.393	5	2	
77.449	81.45	-304.314	-0.808	34.714	306.288	5	2	
77.601	81.6	-304.764	-0.358	33.664	306.617	5	2	
77.709	81.71	-304.014	0.542	34.564	305.972	5	2	
77.823	81.82	-303.264	-0.358	34.414	305.21	5	2	
77.928	81.93	-303.414	0.242	33.814	305.292	5	2	
78.038	82.04	-303.114	0.542	33.964	305.011	5	2	
78.144	82.15	-303.864	-0.508	33.364	305.69	5	2	
78.26	82.26	-303.864	-0.058	34.264	305.789	5	2	
78.437	82.44	-303.564	-0.058	34.264	305.491	5	2	
78.557	82.56	-303.414	-0.208	34.414	305.359	5	2	
78.675	82.68	-305.064	-2.158	35.314	307.108	5	2	
78.805	82.8	-307.764	3.542	31.264	309.368	5	2	
78.912	82.91	-309.864	4.892	24.514	310.87	5	2	
79.019	83.02	-309.114	5.492	22.414	309.974	5	2	
79.17	83.17	-309.564	4.742	20.764	310.295	5	2	
79.279	83.28	-310.164	4.592	20.314	310.862	5	2	
79.395	83.4	-310.164	5.192	20.314	310.871	5	2	
79.511	83.51	-311.064	5.342	20.014	311.752	5	2	
79.63	83.63	-310.614	5.792	20.314	311.331	5	2	
79.756	83.76	-308.514	3.842	29.164	309.913	5	2	
79.872	83.87	-309.864	5.042	20.464	310.579	5	2	
84.949	88.92	-87.414	48.242	22.264	102.294	6	2	
85.05	89.03	-89.514	45.542	20.314	102.467	6	2	
85.16	89.15	-90.114	44.942	20.764	102.817	6	2	
85.274	89.26	-93.114	40.742	19.714	103.531	6	2	
85.385	89.37	-93.264	38.792	20.464	103.061	6	2	
85.498	89.48	-93.114	38.342	21.664	103.003	6	2	
85.656	89.64	-93.564	38.942	20.464	103.389	6	2	
85.782	89.76	-92.814	38.492	20.914	102.632	6	2	
85.894	89.87	-93.414	39.092	20.314	103.281	6	2	
86.007	89.99	-93.414	38.792	19.564	103.023	6	2	
86.117	90.1	-93.714	38.342	18.814	102.987	6	2	
86.237	90.21	-93.714	39.392	20.764	103.755	6	2	
86.417	90.4	-93.564	38.942	20.164	103.33	6	2	
86.528	90.51	-94.464	38.342	20.764	104.041	6	2	
86.64	90.62	-94.014	38.042	20.164	103.404	6	2	
86.758	90.73	-93.864	37.442	19.414	102.904	6	2	
86.864	90.85	-93.264	38.042	20.014	102.693	6	2	
86.988	90.96	-93.864	38.192	20.314	103.352	6	2	
87.098	91.08	-93.864	38.342	20.014	103.349	6	2	
87.256	91.24	-93.714	38.042	19.264	102.959	6	2	
87.374	91.35	-93.114	38.942	19.564	102.807	6	2	
87.485	91.47	-93.714	37.592	20.914	103.115	6	2	
87.599	91.58	-93.414	36.542	20.914	102.464	6	2	
87.716	91.69	-93.414	37.892	20.764	102.922	6	2	
87.827	91.8	-93.864	38.342	20.914	103.527	6	2	
87.971	91.95	-93.564	38.042	20.464	103.054	6	2	
88.087	92.06	-95.664	37.892	16.864	104.267	6	2	
